W0426 23:28:35.317000 552003 torch/distributed/run.py:803] 
W0426 23:28:35.317000 552003 torch/distributed/run.py:803] *****************************************
W0426 23:28:35.317000 552003 torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0426 23:28:35.317000 552003 torch/distributed/run.py:803] *****************************************
[W426 23:28:46.409025981 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.409415920 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.410824384 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.411505168 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.411673055 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.411740194 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.411813603 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.412504142 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
Hyperparameters:
  adam_eps: 1e-08
bump_layer_stats step:2180 frac:0.358555 phase:pre layer:4 looped:1 grad_norm:4.20316903e-02 param_norm:1.36720158e+02 grad_param_ratio:3.07428627e-04
bump_layer_stats step:2180 frac:0.358555 phase:pre layer:5 looped:1 grad_norm:3.96633857e-02 param_norm:1.36434946e+02 grad_param_ratio:2.90712804e-04
bump_layer_stats step:2180 frac:0.358555 phase:pre layer:6 looped:0 grad_norm:4.22770730e-02 param_norm:1.38509052e+02 grad_param_ratio:3.05229677e-04
bump_layer_stats step:2180 frac:0.358555 phase:pre layer:7 looped:0 grad_norm:3.95699101e-02 param_norm:1.39379910e+02 grad_param_ratio:2.83899667e-04
bump_layer_stats step:2180 frac:0.358555 phase:pre layer:8 looped:0 grad_norm:4.22399538e-02 param_norm:1.41395035e+02 grad_param_ratio:2.98737178e-04
bump_layer_stats step:2180 frac:0.358555 phase:pre layer:9 looped:0 grad_norm:3.80699721e-02 param_norm:1.40726808e+02 grad_param_ratio:2.70523951e-04
bump_layer_stats step:2180 frac:0.358555 phase:pre layer:10 looped:0 grad_norm:5.60832954e-02 param_norm:1.37019699e+02 grad_param_ratio:4.09308266e-04
bump_probe step:2181 frac:0.358731 phase:pre loop_active:0 loss:2.57555801 bpb:1.18504087 eval_time:110ms
bump_counterfactual step:2181 frac:0.358731 phase:pre p_loop:0.000000 policy_loss:2.57555801 policy_bpb:1.18504087 loop_off_loss:2.57555801 loop_off_bpb:1.18504087 loop_on_loss:2.77632364 loop_on_bpb:1.27741522 delta_loss:0.20076563 delta_bpb:0.09237434
bump_layer_stats step:2181 frac:0.358731 phase:pre layer:0 looped:0 grad_norm:5.35030258e-02 param_norm:1.35657764e+02 grad_param_ratio:3.94397077e-04
bump_layer_stats step:2181 frac:0.358731 phase:pre layer:1 looped:0 grad_norm:4.70681825e-02 param_norm:1.35615313e+02 grad_param_ratio:3.47071296e-04
bump_layer_stats step:2181 frac:0.358731 phase:pre layer:2 looped:0 grad_norm:4.48503267e-02 param_norm:1.38198019e+02 grad_param_ratio:3.24536682e-04
bump_layer_stats step:2181 frac:0.358731 phase:pre layer:3 looped:1 grad_norm:4.60057064e-02 param_norm:1.35377612e+02 grad_param_ratio:3.39832456e-04
bump_layer_stats step:2181 frac:0.358731 phase:pre layer:4 looped:1 grad_norm:4.37706570e-02 param_norm:1.36718750e+02 grad_param_ratio:3.20151092e-04
bump_layer_stats step:2181 frac:0.358731 phase:pre layer:5 looped:1 grad_norm:4.05768549e-02 param_norm:1.36432010e+02 grad_param_ratio:2.97414477e-04
bump_layer_stats step:2181 frac:0.358731 phase:pre layer:6 looped:0 grad_norm:4.33730084e-02 param_norm:1.38502659e+02 grad_param_ratio:3.13156504e-04
bump_layer_stats step:2181 frac:0.358731 phase:pre layer:7 looped:0 grad_norm:3.99090253e-02 param_norm:1.39373507e+02 grad_param_ratio:2.86345850e-04
bump_layer_stats step:2181 frac:0.358731 phase:pre layer:8 looped:0 grad_norm:4.12023503e-02 param_norm:1.41389878e+02 grad_param_ratio:2.91409477e-04
bump_layer_stats step:2181 frac:0.358731 phase:pre layer:9 looped:0 grad_norm:3.54576817e-02 param_norm:1.40720087e+02 grad_param_ratio:2.51973136e-04
bump_layer_stats step:2181 frac:0.358731 phase:pre layer:10 looped:0 grad_norm:5.47550395e-02 param_norm:1.37021307e+02 grad_param_ratio:3.99609673e-04
bump_probe step:2182 frac:0.358905 phase:pre loop_active:0 loss:2.57933887 bpb:1.18678049 eval_time:109ms
bump_counterfactual step:2182 frac:0.358905 phase:pre p_loop:0.000000 policy_loss:2.57933887 policy_bpb:1.18678049 loop_off_loss:2.57933887 loop_off_bpb:1.18678049 loop_on_loss:2.78264373 loop_on_bpb:1.28032316 delta_loss:0.20330486 delta_bpb:0.09354267
bump_layer_stats step:2182 frac:0.358905 phase:pre layer:0 looped:0 grad_norm:5.13351092e-02 param_norm:1.35654121e+02 grad_param_ratio:3.78426464e-04
bump_layer_stats step:2182 frac:0.358905 phase:pre layer:1 looped:0 grad_norm:4.31912039e-02 param_norm:1.35604943e+02 grad_param_ratio:3.18507591e-04
bump_layer_stats step:2182 frac:0.358905 phase:pre layer:2 looped:0 grad_norm:4.43526480e-02 param_norm:1.38188782e+02 grad_param_ratio:3.20956935e-04
bump_layer_stats step:2182 frac:0.358905 phase:pre layer:3 looped:1 grad_norm:4.46459855e-02 param_norm:1.35363525e+02 grad_param_ratio:3.29822865e-04
bump_layer_stats step:2182 frac:0.358905 phase:pre layer:4 looped:1 grad_norm:4.06479804e-02 param_norm:1.36711926e+02 grad_param_ratio:2.97325783e-04
bump_layer_stats step:2182 frac:0.358905 phase:pre layer:5 looped:1 grad_norm:3.81665133e-02 param_norm:1.36419278e+02 grad_param_ratio:2.79773606e-04
bump_layer_stats step:2182 frac:0.358905 phase:pre layer:6 looped:0 grad_norm:3.97260033e-02 param_norm:1.38497994e+02 grad_param_ratio:2.86834503e-04
bump_layer_stats step:2182 frac:0.358905 phase:pre layer:7 looped:0 grad_norm:3.77983837e-02 param_norm:1.39365230e+02 grad_param_ratio:2.71218178e-04
bump_layer_stats step:2182 frac:0.358905 phase:pre layer:8 looped:0 grad_norm:3.70049256e-02 param_norm:1.41373025e+02 grad_param_ratio:2.61753794e-04
bump_layer_stats step:2182 frac:0.358905 phase:pre layer:9 looped:0 grad_norm:3.39229184e-02 param_norm:1.40711126e+02 grad_param_ratio:2.41081990e-04
bump_layer_stats step:2182 frac:0.358905 phase:pre layer:10 looped:0 grad_norm:4.80351964e-02 param_norm:1.37001340e+02 grad_param_ratio:3.50618441e-04
bump_probe step:2183 frac:0.359079 phase:pre loop_active:0 loss:2.57732351 bpb:1.18585320 eval_time:110ms
bump_counterfactual step:2183 frac:0.359079 phase:pre p_loop:0.000000 policy_loss:2.57732351 policy_bpb:1.18585320 loop_off_loss:2.57732351 loop_off_bpb:1.18585320 loop_on_loss:2.77452729 loop_on_bpb:1.27658870 delta_loss:0.19720378 delta_bpb:0.09073550
bump_layer_stats step:2183 frac:0.359079 phase:pre layer:0 looped:0 grad_norm:5.07148457e-02 param_norm:1.35647106e+02 grad_param_ratio:3.73873408e-04
bump_layer_stats step:2183 frac:0.359079 phase:pre layer:1 looped:0 grad_norm:4.51787430e-02 param_norm:1.35594254e+02 grad_param_ratio:3.33190688e-04
bump_layer_stats step:2183 frac:0.359079 phase:pre layer:2 looped:0 grad_norm:4.65383619e-02 param_norm:1.38184984e+02 grad_param_ratio:3.36783062e-04
bump_layer_stats step:2183 frac:0.359079 phase:pre layer:3 looped:1 grad_norm:4.81538744e-02 param_norm:1.35358558e+02 grad_param_ratio:3.55750497e-04
bump_layer_stats step:2183 frac:0.359079 phase:pre layer:4 looped:1 grad_norm:4.51382106e-02 param_norm:1.36708570e+02 grad_param_ratio:3.30178353e-04
bump_layer_stats step:2183 frac:0.359079 phase:pre layer:5 looped:1 grad_norm:4.18478970e-02 param_norm:1.36412997e+02 grad_param_ratio:3.06773533e-04
bump_layer_stats step:2183 frac:0.359079 phase:pre layer:6 looped:0 grad_norm:4.26921438e-02 param_norm:1.38487067e+02 grad_param_ratio:3.08275313e-04
bump_layer_stats step:2183 frac:0.359079 phase:pre layer:7 looped:0 grad_norm:3.93276643e-02 param_norm:1.39355676e+02 grad_param_ratio:2.82210711e-04
bump_layer_stats step:2183 frac:0.359079 phase:pre layer:8 looped:0 grad_norm:3.98235861e-02 param_norm:1.41362756e+02 grad_param_ratio:2.81712010e-04
bump_layer_stats step:2183 frac:0.359079 phase:pre layer:9 looped:0 grad_norm:3.70894684e-02 param_norm:1.40699884e+02 grad_param_ratio:2.63606957e-04
bump_layer_stats step:2183 frac:0.359079 phase:pre layer:10 looped:0 grad_norm:5.68740628e-02 param_norm:1.36993528e+02 grad_param_ratio:4.15158757e-04
bump_probe step:2184 frac:0.359253 phase:pre loop_active:0 loss:2.57956797 bpb:1.18688590 eval_time:110ms
bump_counterfactual step:2184 frac:0.359253 phase:pre p_loop:0.000000 policy_loss:2.57956797 policy_bpb:1.18688590 loop_off_loss:2.57956797 loop_off_bpb:1.18688590 loop_on_loss:2.78334552 loop_on_bpb:1.28064606 delta_loss:0.20377755 delta_bpb:0.09376016
bump_layer_stats step:2184 frac:0.359253 phase:pre layer:0 looped:0 grad_norm:5.50726850e-02 param_norm:1.35642156e+02 grad_param_ratio:4.06014521e-04
bump_layer_stats step:2184 frac:0.359253 phase:pre layer:1 looped:0 grad_norm:4.76433695e-02 param_norm:1.35587138e+02 grad_param_ratio:3.51385611e-04
bump_layer_stats step:2184 frac:0.359253 phase:pre layer:2 looped:0 grad_norm:4.78393005e-02 param_norm:1.38176819e+02 grad_param_ratio:3.46217990e-04
bump_layer_stats step:2184 frac:0.359253 phase:pre layer:3 looped:1 grad_norm:4.91551070e-02 param_norm:1.35349038e+02 grad_param_ratio:3.63172931e-04
bump_layer_stats step:2184 frac:0.359253 phase:pre layer:4 looped:1 grad_norm:4.59962561e-02 param_norm:1.36704147e+02 grad_param_ratio:3.36465697e-04
bump_layer_stats step:2184 frac:0.359253 phase:pre layer:5 looped:1 grad_norm:4.28527131e-02 param_norm:1.36406574e+02 grad_param_ratio:3.14154310e-04
bump_layer_stats step:2184 frac:0.359253 phase:pre layer:6 looped:0 grad_norm:4.45860679e-02 param_norm:1.38480579e+02 grad_param_ratio:3.21966214e-04
bump_layer_stats step:2184 frac:0.359253 phase:pre layer:7 looped:0 grad_norm:4.16971796e-02 param_norm:1.39352723e+02 grad_param_ratio:2.99220414e-04
bump_layer_stats step:2184 frac:0.359253 phase:pre layer:8 looped:0 grad_norm:4.06741039e-02 param_norm:1.41353347e+02 grad_param_ratio:2.87747724e-04
bump_layer_stats step:2184 frac:0.359253 phase:pre layer:9 looped:0 grad_norm:4.33504310e-02 param_norm:1.40699389e+02 grad_param_ratio:3.08106747e-04
bump_layer_stats step:2184 frac:0.359253 phase:pre layer:10 looped:0 grad_norm:6.15988655e-02 param_norm:1.36983524e+02 grad_param_ratio:4.49680834e-04
bump_probe step:2185 frac:0.359426 phase:pre loop_active:0 loss:2.57869869 bpb:1.18648593 eval_time:111ms
bump_counterfactual step:2185 frac:0.359426 phase:pre p_loop:0.000000 policy_loss:2.57869869 policy_bpb:1.18648593 loop_off_loss:2.57869869 loop_off_bpb:1.18648593 loop_on_loss:2.77469928 loop_on_bpb:1.27666783 delta_loss:0.19600059 delta_bpb:0.09018190
bump_layer_stats step:2185 frac:0.359426 phase:pre layer:0 looped:0 grad_norm:7.17872556e-02 param_norm:1.35632595e+02 grad_param_ratio:5.29277314e-04
bump_layer_stats step:2185 frac:0.359426 phase:pre layer:1 looped:0 grad_norm:6.70751961e-02 param_norm:1.35573954e+02 grad_param_ratio:4.94749870e-04
bump_layer_stats step:2185 frac:0.359426 phase:pre layer:2 looped:0 grad_norm:6.96951427e-02 param_norm:1.38165759e+02 grad_param_ratio:5.04431369e-04
bump_layer_stats step:2185 frac:0.359426 phase:pre layer:3 looped:1 grad_norm:8.17927644e-02 param_norm:1.35335846e+02 grad_param_ratio:6.04368812e-04
bump_layer_stats step:2185 frac:0.359426 phase:pre layer:4 looped:1 grad_norm:7.66975252e-02 param_norm:1.36698785e+02 grad_param_ratio:5.61069546e-04
bump_layer_stats step:2185 frac:0.359426 phase:pre layer:5 looped:1 grad_norm:6.97171134e-02 param_norm:1.36398170e+02 grad_param_ratio:5.11129390e-04
bump_layer_stats step:2185 frac:0.359426 phase:pre layer:6 looped:0 grad_norm:6.92087693e-02 param_norm:1.38471015e+02 grad_param_ratio:4.99806904e-04
bump_layer_stats step:2185 frac:0.359426 phase:pre layer:7 looped:0 grad_norm:5.70882335e-02 param_norm:1.39339998e+02 grad_param_ratio:4.09704568e-04
bump_layer_stats step:2185 frac:0.359426 phase:pre layer:8 looped:0 grad_norm:6.78553090e-02 param_norm:1.41346538e+02 grad_param_ratio:4.80063468e-04
bump_layer_stats step:2185 frac:0.359426 phase:pre layer:9 looped:0 grad_norm:7.93117631e-02 param_norm:1.40684686e+02 grad_param_ratio:5.63755481e-04
bump_layer_stats step:2185 frac:0.359426 phase:pre layer:10 looped:0 grad_norm:1.20783579e-01 param_norm:1.36973914e+02 grad_param_ratio:8.81799866e-04
bump_probe step:2186 frac:0.359603 phase:pre loop_active:0 loss:2.58354358 bpb:1.18871512 eval_time:110ms
bump_counterfactual step:2186 frac:0.359603 phase:pre p_loop:0.000000 policy_loss:2.58354358 policy_bpb:1.18871512 loop_off_loss:2.58354358 loop_off_bpb:1.18871512 loop_on_loss:2.78875622 loop_on_bpb:1.28313557 delta_loss:0.20521264 delta_bpb:0.09442046
bump_layer_stats step:2186 frac:0.359603 phase:pre layer:0 looped:0 grad_norm:4.98224907e-02 param_norm:1.35626265e+02 grad_param_ratio:3.67351345e-04
bump_layer_stats step:2186 frac:0.359603 phase:pre layer:1 looped:0 grad_norm:4.37323227e-02 param_norm:1.35568472e+02 grad_param_ratio:3.22584757e-04
bump_layer_stats step:2186 frac:0.359603 phase:pre layer:2 looped:0 grad_norm:4.48785466e-02 param_norm:1.38156462e+02 grad_param_ratio:3.24838564e-04
bump_layer_stats step:2186 frac:0.359603 phase:pre layer:3 looped:1 grad_norm:4.63683602e-02 param_norm:1.35324717e+02 grad_param_ratio:3.42645167e-04
bump_layer_stats step:2186 frac:0.359603 phase:pre layer:4 looped:1 grad_norm:4.48074576e-02 param_norm:1.36688973e+02 grad_param_ratio:3.27805943e-04
bump_layer_stats step:2186 frac:0.359603 phase:pre layer:5 looped:1 grad_norm:4.30109293e-02 param_norm:1.36389715e+02 grad_param_ratio:3.15353173e-04
bump_layer_stats step:2186 frac:0.359603 phase:pre layer:6 looped:0 grad_norm:4.48380768e-02 param_norm:1.38455814e+02 grad_param_ratio:3.23843944e-04
bump_layer_stats step:2186 frac:0.359603 phase:pre layer:7 looped:0 grad_norm:4.41010593e-02 param_norm:1.39332174e+02 grad_param_ratio:3.16517413e-04
bump_layer_stats step:2186 frac:0.359603 phase:pre layer:8 looped:0 grad_norm:4.62970250e-02 param_norm:1.41329604e+02 grad_param_ratio:3.27581933e-04
bump_layer_stats step:2186 frac:0.359603 phase:pre layer:9 looped:0 grad_norm:5.30384157e-02 param_norm:1.40680540e+02 grad_param_ratio:3.77013165e-04
bump_layer_stats step:2186 frac:0.359603 phase:pre layer:10 looped:0 grad_norm:6.98405080e-02 param_norm:1.36957691e+02 grad_param_ratio:5.09942211e-04
bump_probe step:2187 frac:0.359781 phase:pre loop_active:0 loss:2.58001023 bpb:1.18708939 eval_time:110ms
bump_counterfactual step:2187 frac:0.359781 phase:pre p_loop:0.000000 policy_loss:2.58001023 policy_bpb:1.18708939 loop_off_loss:2.58001023 loop_off_bpb:1.18708939 loop_on_loss:2.77406493 loop_on_bpb:1.27637596 delta_loss:0.19405469 delta_bpb:0.08928657
bump_layer_stats step:2187 frac:0.359781 phase:pre layer:0 looped:0 grad_norm:5.04226444e-02 param_norm:1.35621041e+02 grad_param_ratio:3.71790719e-04
bump_layer_stats step:2187 frac:0.359781 phase:pre layer:1 looped:0 grad_norm:4.34221998e-02 param_norm:1.35564145e+02 grad_param_ratio:3.20307407e-04
bump_layer_stats step:2187 frac:0.359781 phase:pre layer:2 looped:0 grad_norm:4.41907815e-02 param_norm:1.38155306e+02 grad_param_ratio:3.19863078e-04
bump_layer_stats step:2187 frac:0.359781 phase:pre layer:3 looped:1 grad_norm:4.74580668e-02 param_norm:1.35315616e+02 grad_param_ratio:3.50721285e-04
bump_layer_stats step:2187 frac:0.359781 phase:pre layer:4 looped:1 grad_norm:4.44587803e-02 param_norm:1.36681070e+02 grad_param_ratio:3.25273868e-04
bump_layer_stats step:2187 frac:0.359781 phase:pre layer:5 looped:1 grad_norm:4.23179809e-02 param_norm:1.36381543e+02 grad_param_ratio:3.10291113e-04
bump_layer_stats step:2187 frac:0.359781 phase:pre layer:6 looped:0 grad_norm:4.34874669e-02 param_norm:1.38453191e+02 grad_param_ratio:3.14095086e-04
bump_layer_stats step:2187 frac:0.359781 phase:pre layer:7 looped:0 grad_norm:4.10034197e-02 param_norm:1.39326609e+02 grad_param_ratio:2.94297120e-04
bump_layer_stats step:2187 frac:0.359781 phase:pre layer:8 looped:0 grad_norm:4.25834476e-02 param_norm:1.41325507e+02 grad_param_ratio:3.01314663e-04
bump_layer_stats step:2187 frac:0.359781 phase:pre layer:9 looped:0 grad_norm:4.28827324e-02 param_norm:1.40669662e+02 grad_param_ratio:3.04847057e-04
bump_layer_stats step:2187 frac:0.359781 phase:pre layer:10 looped:0 grad_norm:6.51454147e-02 param_norm:1.36946145e+02 grad_param_ratio:4.75700976e-04
bump_probe step:2188 frac:0.359955 phase:pre loop_active:0 loss:2.58155719 bpb:1.18780116 eval_time:110ms
